IBF-size	Build-Time	Build-RAM	Search-Time	Search-RAM
10M	0.72	48688	23.96	1190768
20M	1.18	58708	11.01	358768
30M	1.12	69324	9.17	411948
40M	1.24	79504	8.13	461008
