m54329U_190528_231241/458993/ccs	10180
m54329U_190528_231241/395451/ccs	1787
m54329U_190528_231241/592289/ccs	10113
m54329U_190528_231241/525386/ccs	10678
m54329U_190528_231241/264405/ccs	10271
m54329U_190528_231241/854594/ccs	10095
m54329U_190528_231241/723617/ccs	10937
m54329U_190528_231241/722406/ccs	9792
m54329U_190528_231241/920001/ccs	10837
m54329U_190528_231241/1180705/ccs	9649
m54329U_190528_231241/524294/ccs	10225
m54329U_190528_231241/67628/ccs	9825
m54329U_190528_231241/1179861/ccs	10119
m54329U_190528_231241/789076/ccs	10514
m54329U_190528_231241/1704467/ccs	10246
m54329U_190528_231241/1508764/ccs	10825
m54329U_190528_231241/2032527/ccs	9528
m54329U_190528_231241/2359553/ccs	10205
m54329U_190528_231241/2425484/ccs	9874
m54329U_190528_231241/2493037/ccs	10397
m54329U_190528_231241/1836064/ccs	10227
m54329U_190528_231241/2427008/ccs	9862
m54329U_190528_231241/2556466/ccs	9773
m54329U_190528_231241/2230073/ccs	10814
m54329U_190528_231241/2883883/ccs	10873
m54329U_190528_231241/4129892/ccs	10209
m54329U_190528_231241/3671827/ccs	11371
m54329U_190528_231241/4129667/ccs	9728
m54329U_190528_231241/3607099/ccs	9483
m54329U_190528_231241/4131282/ccs	10388
m54329U_190528_231241/4786722/ccs	3373
m54329U_190528_231241/4917707/ccs	11015
m54329U_190528_231241/4588464/ccs	1246
m54329U_190528_231241/4523716/ccs	10568
m54329U_190528_231241/4719352/ccs	10206
m54329U_190528_231241/4719608/ccs	10756
m54329U_190528_231241/5113122/ccs	10359
m54329U_190528_231241/4523543/ccs	9197
m54329U_190528_231241/5505575/ccs	10029
m54329U_190528_231241/5506684/ccs	10337
m54329U_190528_231241/5311062/ccs	10563
m54329U_190528_231241/6030429/ccs	9881
m54329U_190528_231241/5507576/ccs	14470
m54329U_190528_231241/5571646/ccs	9697
m54329U_190528_231241/4852378/ccs	9799
m54329U_190528_231241/6096498/ccs	10060
m54329U_190528_231241/6423827/ccs	9722
m54329U_190528_231241/6816791/ccs	9966
m54329U_190528_231241/6423162/ccs	10056
m54329U_190528_231241/6162254/ccs	10442
