	error_rate	search time (sec)	missed (%)
0	0.0	538.485	0.0
1	0.02	161.145	0.0
2	0.04	45.556	0.0
3	0.06	646.747	0.0
4	0.08	108225.086	0.0
5	0.1	110495.472	0.0
