	error_rate	search time (sec)	missed (%)
0	0.0	39402.715	0.0
1	0.02	40750.201	0.0
2	0.04	39549.587	0.0
3	0.06	39551.496	0.0
4	0.08	43231.287	0.0
5	0.1	39549.932	0.0
