	error_rate	search time (sec)	missed (%)
0	0.0	81.053	0.0
1	0.02	80.339	0.002
2	0.04	80.408	0.035
3	0.06	80.159	0.133
4	0.08	78.936	0.298
5	0.1	77.43	0.482
