	error_rate	build time (sec)	search time (sec)	missed (%)
0	0.0	107.856	927.492	1.0
1	0.02	107.856	933.837	1.0
2	0.04	107.856	942.086	1.0
3	0.06	107.856	1206.112	1.0
4	0.08	107.856	1119.712	1.0
5	0.1	107.856	1083.135	1.0
