	error_rate	build time (sec)	search time (sec)	missed (%)
0	0.0	1.813	56.385	0.001
1	0.02	1.813	90.327	0.0
2	0.04	1.813	251.188	0.0
3	0.06	1.813	4580.215	0.0
4	0.08	1.813	19772.902	0.0
5	0.1	1.813	43200.136	1.0
