	error_rate	build time (sec)	search time (sec)	missed (%)
0	0.0	54.443	435.568	0.001
1	0.02	54.597	110.701	0.0
2	0.04	57.466	39.751	0.007
3	0.06	53.715	172.407	0.0
4	0.08	54.974	6289.994	0.0
5	0.1	53.339	6248.114	0.005
