	error_rate	build time (sec)	search time (sec)	missed (%)
0	0.0	0.348	7.937	0.002
1	0.02	0.348	9.312	0.0
2	0.04	0.348	15.823	0.0
3	0.06	0.348	188.055	0.0
4	0.08	0.348	821.535	0.0
5	0.1	0.348	7991.778	0.0
