	error_rate	search time (sec)	missed (%)
0	0.0	70.752	0.0
1	0.02	80.804	0.0
2	0.04	12.837	0.0
3	0.06	155.524	0.0
4	0.08	26824.723	0.0
5	0.1	38149.227	0.0
