	error_rate	search time (sec)	missed (%)
0	0.0	9.36	0.0
1	0.02	10.18	0.0
2	0.04	7.452	0.0
3	0.06	12.236	0.0
4	0.08	1659.406	0.0
5	0.1	2288.953	0.0
