	error_rate	search time (sec)	missed (%)
0	0.0	1736.125	0.0
1	0.02	1742.341	0.0
2	0.04	1729.722	0.0
3	0.06	1722.758	0.0
4	0.08	1741.658	0.0
5	0.1	1728.108	0.0
