	ref_size	time_mean (sec)	time_std_dev	missed (%)
0	1kb	0.05	0.009	0.0
1	10kb	0.16	0.032	0.0
2	100kb	0.26	0.175	0.0
3	1Mb	9.87	15.139	0.0
4	10Mb	2431.08	3691.368	0.0
